"customerID"	"prob_churn"
"1"	"8098-LLAZX"	88.2411537173196
"2"	"2446-BEGGB"	87.5065543498664
"3"	"9497-QCMMS"	87.4463371609735
"4"	"2720-WGKHP"	87.3954186411684
"5"	"2660-EMUBI"	86.974868561659
"6"	"3988-RQIXO"	85.5220944356323
"7"	"4847-TAJYI"	85.2094208824025
"8"	"5383-MMTWC"	84.9161109630317
"9"	"3158-MOERK"	84.6056735929336
"10"	"6350-XFYGW"	84.4222769437193
"11"	"2968-SSGAA"	84.2781561534736
"12"	"5519-NPHVG"	84.0000917994975
"13"	"5419-JPRRN"	83.7410467980936
"14"	"3068-OMWZA"	83.488539075131
"15"	"4826-XTSOH"	83.1918361761261
"16"	"4626-GYCZP"	83.0538776691876
"17"	"7526-BEZQB"	82.6716097133143
"18"	"3292-PBZEJ"	82.1173354044206
"19"	"2027-FECZV"	82.0278090266337
"20"	"6521-YYTYI"	81.0124425858036
"21"	"4140-MUHUG"	80.9803378892115
"22"	"9611-CTWIH"	80.9262749424261
"23"	"2672-HUYVI"	80.7514663772457
"24"	"0021-IKXGC"	80.4431005816624
"25"	"1197-BVMVG"	80.2587025013353
"26"	"9546-CQJSU"	79.9377307340288
"27"	"7858-GTZSP"	79.9161635625239
"28"	"3489-HHPFY"	79.6412361402072
"29"	"0970-ETWGE"	79.6215401223697
"30"	"8242-SOQUO"	79.5406353445385
"31"	"7488-MXJIV"	79.479969390795
"32"	"8580-AECUZ"	79.3189580046676
"33"	"4884-ZTHVF"	79.2647879272457
"34"	"4795-KTRTH"	79.219918137001
"35"	"8593-WHYHV"	79.1311375054852
"36"	"6979-ZNSFF"	79.1000657041667
"37"	"0697-ZMSWS"	79.0667880262445
"38"	"8473-VUVJN"	78.9812155800888
"39"	"5240-IJOQT"	78.9802999582811
"40"	"8808-ELEHO"	78.8925532730863
"41"	"7398-SKNQZ"	78.8594326973719
"42"	"5644-PDMZC"	78.73408408957
"43"	"9334-GWGOW"	78.6211042957726
"44"	"2754-SDJRD"	78.5564166699367
"45"	"4927-WWOOZ"	78.470291299902
"46"	"4132-KALRO"	78.3285365328157
"47"	"3462-BJQQA"	78.2730911546067
"48"	"2462-XIIJB"	78.218583238076
"49"	"4228-ZGYUW"	78.0246742615688
"50"	"1960-UYCNN"	77.8053337594382
"51"	"6857-VWJDT"	77.5418885360133
"52"	"7613-LLQFO"	77.2941606396292
"53"	"4060-LDNLU"	76.9734359032563
"54"	"5168-MSWXT"	76.5331539550213
"55"	"3338-CVVEH"	76.4726564570608
"56"	"0495-RVCBF"	76.4514402943495
"57"	"5550-VFRLC"	76.1153347629943
"58"	"1571-SAVHK"	76.0612330495404
"59"	"2799-ARNLO"	75.8560113117159
"60"	"5597-GLBUC"	75.6348053074556
"61"	"3874-EQOEP"	75.3879584675082
"62"	"7760-OYPDY"	75.177475096951
"63"	"1981-INRFU"	75.1575223158297
"64"	"6357-JJPQT"	75.0909191608614
"65"	"6689-TCZHQ"	75.0740872565802
"66"	"8752-STIVR"	75.0212931047912
"67"	"1977-STDKI"	74.9984643521631
"68"	"5299-RULOA"	74.8901087620716
"69"	"2609-IAICY"	74.8544950255965
"70"	"1618-CFHME"	74.7889862040066
"71"	"7817-BOQPW"	74.7662494285718
"72"	"5445-UTODQ"	74.7522962586402
"73"	"4581-SSPWD"	74.6868865438838
"74"	"1465-VINDH"	74.6837082863016
"75"	"3519-ZKXGG"	74.6778442695741
"76"	"4806-KEXQR"	74.5431974508718
"77"	"5539-TMZLF"	74.4344157620901
"78"	"9846-GKXAS"	74.3040157340233
"79"	"8541-QVFKM"	74.3017480221819
"80"	"8485-GJCDN"	74.2572412451643
"81"	"8065-YKXKD"	74.1334408022454
"82"	"6137-NICCO"	74.1040889466419
"83"	"1980-KXVPM"	73.7906813575274
"84"	"3106-ULWFW"	73.7841542396239
"85"	"1628-BIZYP"	73.6265602917595
"86"	"2408-WITXK"	73.6123909998089
"87"	"6618-RYATB"	73.6090752963938
"88"	"0013-EXCHZ"	73.4481793776491
"89"	"6407-UTSLV"	73.4261627159982
"90"	"2612-RRIDN"	73.2515113074405
"91"	"1251-STYSZ"	73.1964114587902
"92"	"2984-AFWNC"	73.1003145327143
"93"	"5095-AESKG"	73.0006780527883
"94"	"0404-SWRVG"	72.9584345223136
"95"	"0302-JOIVN"	72.9577716076856
"96"	"2081-VEYEH"	72.9346239103495
"97"	"7341-LXCAF"	72.885151342994
"98"	"5652-MSDEY"	72.4624815870737
"99"	"3049-NDXFL"	72.3842863204065
"100"	"9050-IKDZA"	72.3367982787678
"101"	"7994-UYIVZ"	72.2859135047004
"102"	"0137-OCGAB"	71.987050215849
"103"	"2952-QAYZF"	71.9816778472775
"104"	"3585-ISXZP"	71.8371203469629
"105"	"8443-WVPSS"	71.7983144948132
"106"	"2018-QKYGT"	71.5066262267497
"107"	"9696-RMYBA"	71.4597681927075
"108"	"2495-INZWQ"	71.0276986798899
"109"	"7511-YMXVQ"	70.7626982787234
"110"	"6996-KNSML"	70.2082753992875
"111"	"3855-ONCAR"	69.979083982384
"112"	"4806-HIPDW"	69.7629169103279
"113"	"0328-GRPMV"	69.7603177659159
"114"	"1031-IIDEO"	69.7594866936392
"115"	"3070-DVEYC"	69.6361960950215
"116"	"2260-USTRB"	69.0637012642364
"117"	"7890-VYYWG"	68.8981204445177
"118"	"2959-FENLU"	68.8449007395106
"119"	"4854-CIDCF"	68.815757858235
"120"	"8183-ONMXC"	68.8041451903916
"121"	"1636-NTNCO"	68.747360395881
"122"	"5196-SGOAK"	68.4666028665423
"123"	"7928-VJYAB"	68.2317672667561
"124"	"6502-MJQAE"	67.8216917461713
"125"	"3494-JCHRQ"	67.8211758828534
"126"	"7465-ZZRVX"	67.8208319715602
"127"	"2568-BRGYX"	67.6283989943144
"128"	"4514-GFCFI"	67.5943371450171
"129"	"4291-SHSBH"	67.3016496293156
"130"	"0822-GAVAP"	67.1920244702764
"131"	"2485-ITVKB"	67.1858820856519
"132"	"7969-AULMZ"	67.1256654221572
"133"	"5393-RXQSZ"	66.9256901961097
"134"	"0925-VYDLG"	66.8140003745357
"135"	"5405-ZMYXQ"	66.7445837081756
"136"	"1602-IJQQE"	66.7019786928827
